s[R,A,AB->AA,0(9),106,0,0,0,30562]
s[T,D,AA->AB,1(10),107,7,16,30576,30696]
s[R,A,AB->AA,0(9),107,0,0,0,30777]
s[T,D,AA->AB,1(10),108,10,16,30792,30915]
s[R,A,AB->AA,0(9),108,0,0,0,30996]
s[T,D,AA->AB,1(10),109,5,16,31012,31130]
s[R,A,AB->AA,0(9),109,0,0,0,31211]
s[T,D,AA->AB,1(10),110,15,16,31223,31351]
s[R,A,AB->AA,0(9),110,0,0,0,31432]
s[T,D,AA->AB,1(10),111,6,16,31448,31567]
s[R,A,AB->AA,0(9),111,0,0,0,31648]
s[T,D,AA->AB,1(10),112,14,16,31663,31790]
s[R,A,AB->AA,0(9),112,0,0,0,31871]
s[T,D,AA->AB,1(10),113,9,16,31887,32009]
s[R,A,AB->AA,0(9),113,0,0,0,32090]
s[T,D,AA->AB,1(10),114,0,16,32103,32216]
s[R,A,AB->AA,0(9),114,0,0,0,32297]
s[T,D,AA->AB,1(10),115,5,16,32311,32429]
s[R,A,AB->AA,0(9),115,0,0,0,32510]
s[T,D,AA->AB,1(10),116,1,16,32527,32641]
s[R,A,AB->AA,0(9),116,0,0,0,32722]
s[T,D,AA->AB,1(10),117,1,16,32738,32852]
s[R,A,AB->AA,0(9),117,0,0,0,32933]
s[T,D,AA->AB,1(10),118,5,16,32946,33064]
s[R,A,AB->AA,0(9),118,0,0,0,33145]
s[T,D,AA->AB,1(10),119,12,16,33162,33287]
s[R,A,AB->AA,0(9),119,0,0,0,33368]
s[T,D,AA->AB,1(10),120,6,16,33382,33501]
s[R,A,AB->AA,0(9),120,0,0,0,33582]
s[T,D,AA->AB,1(10),121,9,16,33596,33718]
s[R,A,AB->AA,0(9),121,0,0,0,33799]
s[T,D,AA->AB,1(10),122,0,16,33812,33925]
s[R,A,AB->AA,0(9),122,0,0,0,34006]
s[T,D,AA->AB,1(10),123,5,16,34021,34139]
s[R,A,AB->AA,0(9),123,0,0,0,34220]
s[T,D,AA->AB,1(10),124,5,16,34238,34356]
s[R,A,AB->AA,0(9),124,0,0,0,34437]
s[T,D,AA->AB,1(10),125,12,16,34452,34578]
s[R,A,AB->AA,0(9),125,0,0,0,34659]
s[T,D,AA->AB,1(10),126,14,16,34672,34799]
s[R,A,AB->AA,0(9),126,0,0,0,34880]
s[T,D,AA->AB,1(10),127,7,16,34896,35016]
s[R,A,AB->AA,0(9),127,0,0,0,35097]
s[T,D,AA->AB,1(10),128,15,16,35112,35240]
s[R,A,AB->AA,0(9),128,0,0,0,35321]
s[T,D,AA->AB,1(10),129,0,16,35336,35449]
s[R,A,AB->AA,0(9),129,0,0,0,35530]
s[T,D,AA->AB,1(10),130,15,16,35544,35672]
s[R,A,AB->AA,0(9),130,0,0,0,35753]
s[T,D,AA->AB,1(10),131,7,16,35766,35886]
s[R,A,AB->AA,0(9),131,0,0,0,35967]
s[T,D,AA->AB,1(10),132,6,16,35983,36102]
s[R,A,AB->AA,0(9),132,0,0,0,36183]
s[T,D,AA->AB,1(10),133,2,16,36199,36314]
s[R,A,AB->AA,0(9),133,0,0,0,36395]
s[T,D,AA->AB,1(10),134,2,16,36411,36526]
s[R,A,AB->AA,0(9),134,0,0,0,36607]
s[T,D,AA->AB,1(10),135,14,16,36622,36749]
s[R,A,AB->AA,0(9),135,0,0,0,36830]
s[T,D,AA->AB,1(10),136,13,16,36846,36972]
s[R,A,AB->AA,0(9),136,0,0,0,37053]
s[T,D,AA->AB,1(10),137,9,16,37066,37188]
s[R,A,AB->AA,0(9),137,0,0,0,37269]
s[T,D,AA->AB,1(10),138,7,16,37286,37406]
s[R,A,AB->AA,0(9),138,0,0,0,37487]
s[T,D,AA->AB,1(10),139,4,16,37502,37619]
s[R,A,AB->AA,0(9),139,0,0,0,37700]
s[T,D,AA->AB,1(10),140,2,16,37713,37828]
s[R,A,AB->AA,0(9),140,0,0,0,37909]
s[T,D,AA->AB,1(10),141,0,16,37925,38038]
s[R,A,AB->AA,0(9),141,0,0,0,38119]
s[T,D,AA->AB,1(10),142,6,16,38133,38252]
s[R,A,AB->AA,0(9),142,0,0,0,38333]
s[T,D,AA->AB,1(10),143,9,16,38348,38470]
s[R,A,AB->AA,0(9),143,0,0,0,38551]
s[T,D,AA->AB,1(10),144,0,16,38564,38677]
